직무,기업,제목,주소,기술스택
빅데이터 엔지니어,알고리즘코리아,AI 기반 의료용 3D Mesh 생성 알고리즘 연구 개발,서울 금천구,"Python
· TensorFlow
· PyTorch
· AI/인공지능
· DeepLearning
· MachineLearning"
빅데이터 엔지니어,코인원,데이터 분석가,서울 영등포구,"SQL
· Python
· R"
빅데이터 엔지니어,마크클라우드,데이터 엔지니어 (Vision),서울 강남구,"PyTorch
· TensorFlow
· RDB
· NoSql
· Git
· Docker
· AI/인공지능
· DeepLearning"
빅데이터 엔지니어,이몰디노,[eMoldino] AI Data Scientist,서울 중구,"Python
· R
· MATLAB
· MachineLearning
· DeepLearning
· AI/인공지능"
빅데이터 엔지니어,인포시즈,그래프 데이터 사이언티스트,서울 강남구,"Python
· RDB
· DB
· Neo4j"
빅데이터 엔지니어,포지큐브,"AI Data Engineer (LLM, 신입 및 1년 이상)",서울 강남구,"Python
· Flask
· Gunicorn
· Django
· AZURE
· GCP"
인공지능/머신러닝,모빌린트,[전문연구요원 가능] Deep Learning Research Engineer,서울 강남구,"Python
· PyTorch
· TensorFlow
· DeepLearning
· C
· C++"
인공지능/머신러닝,알지에이아이엔씨(RGA Inc.),AI Vision Engineer,서울 서초구,"TensorFlow
· PyTorch
· Python
· C++
· C++ Builder
· Embedded
· Git
· Jira"
인공지능/머신러닝,로민,컴퓨터 비전 개발자,서울 서초구,"Python
· Docker
· PyTorch
· TensorFlow
· OpenCV
· AI/인공지능
· DeepLearning"
인공지능/머신러닝,피플펀드컴퍼니,머신러닝 소프트웨어 엔지니어,서울 서초구,"MachineLearning
· AWS"
인공지능/머신러닝,엔지온시스템,비전검사 / 자동화 검사 / 인공지능 / 머신러닝 제어 개발자 정규직 채용,경기 화성시,"ai/인공지능
· machinelearning
· c#
· .net"
인공지능/머신러닝,뉴로다임,AI(딥러닝) 연구 및 개발,서울 성동구,"Linux
· Python
· TensorFlow
· Keras"
